CustomerID,Name,ContactNumber,Email,Address,industryType,AccountManagerID
1737,Costa Rica,1-413-946-8588,porttitor.eros.nec@icloud.couk,304-4177 Odio St.,Non Ante Bibendum Corporation,2856
1211,Philippines,1-659-387-3066,lectus.a@outlook.ca,"P.O. Box 695, 7559 Ac Rd.",Suspendisse Aliquet Industries,2784
1067,Brazil,1-855-385-7362,semper.egestas@hotmail.com,Ap #639-8650 Eu Rd.,Magna Associates,2695
1511,South Africa,663-7112,venenatis.vel@yahoo.com,Ap #905-9998 Lorem Rd.,In Corp.,2775
1252,New Zealand,644-7917,velit.egestas@aol.edu,"6128 Est, St.",Vel Quam Incorporated,2302
1740,Canada,775-3224,pharetra.sed.hendrerit@outlook.net,9279 Suspendisse Ave,Donec Feugiat Metus Corp.,2214
1914,Philippines,417-6112,dui.quis@icloud.couk,Ap #852-7171 Sed Rd.,Mauris Industries,2320
1891,Brazil,832-6164,nec.orci.donec@google.ca,"Ap #191-6569 Est, Avenue",Sed Est Company,2950
1308,Belgium,1-418-276-1011,tincidunt.nunc@aol.edu,3581 Donec St.,Egestas Fusce Aliquet Institute,2191
1740,Turkey,854-2163,ullamcorper.duis@yahoo.com,"P.O. Box 926, 1350 Interdum. Ave",Nulla Foundation,2507
1893,Costa Rica,334-9301,nec.tempus@yahoo.org,"P.O. Box 136, 4259 Mi St.",Auctor Nunc Nulla Ltd,2426
1351,Chile,649-1473,eu@google.org,3208 Molestie Rd.,Tincidunt Industries,2080
1496,China,1-404-771-0066,orci.luctus@aol.com,270-2999 Ipsum. Ave,Ac Nulla Ltd,2325
1102,Indonesia,302-0584,nulla@hotmail.ca,963-1946 Tincidunt Road,Eu Company,2366
1209,United Kingdom,1-267-825-6151,dolor@google.com,Ap #939-6390 Sit Av.,A Magna Corporation,2018
1919,Australia,1-631-235-4441,arcu.et.pede@yahoo.couk,"P.O. Box 581, 1894 Vitae Road",Auctor Velit Eget Limited,2581
1004,Chile,1-889-986-4996,faucibus.leo@aol.org,"416-8011 Non, Rd.",Nec Quam Corporation,2091
1635,Australia,533-7010,nibh.donec@yahoo.ca,"Ap #269-7064 Scelerisque, St.",Sagittis Semper Nam Limited,2594
1524,India,688-2633,nec.diam@aol.org,1641 Sed Rd.,Nisi Aenean Corp.,2022
1558,China,297-8578,sed.hendrerit.a@google.couk,186-7339 Tortor. Rd.,Egestas Rhoncus Proin Limited,2935
1904,Brazil,158-1583,auctor@outlook.couk,"654-3000 Non, Street",Lacus Quisque Imperdiet Inc.,2572
1662,Austria,789-8932,massa.quisque@outlook.couk,2181 Massa. St.,Sem Egestas Blandit Limited,2178
1019,Singapore,1-882-515-7842,magna.malesuada@yahoo.org,"Ap #944-9268 Ante, Street",Neque Associates,2556
1012,United States,1-545-377-7760,ullamcorper.magna.sed@icloud.net,"Ap #264-5492 Elit, Avenue",Luctus Lobortis Inc.,2247
1725,Germany,1-240-129-8203,magna.ut@hotmail.ca,"P.O. Box 882, 5014 Vel, Street",Pellentesque Foundation,2475
1232,Canada,1-127-274-0684,non.bibendum@hotmail.ca,Ap #266-3463 Volutpat Av.,Montes Company,2084
1063,United Kingdom,1-782-982-2872,turpis.vitae@outlook.edu,2326 Urna St.,Arcu Morbi Associates,2460
1286,Singapore,247-2138,et@hotmail.com,"4898 Mi, Road",Malesuada Fames Corp.,2400
